Year,Facility Name,Sample Station Name ,Latitude,Longitude,Sample Type en,Sample Type fr,Substance Name en,Substance Name fr,Statistical Quantity en,Statistical Quantity fr,energy_below_1_mev,Result,Units
2015,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.005,GBq/yr
2015,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Annual Total,Total annuel,,0.12,GBq/yr
2015,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-131,Iode-131,Annual Total,Total annuel,,0.15,GBq/yr
2015,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-133,Xenon-133,Annual Total,Total annuel,,11916,GBq/yr
2015,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135,Xenon-135,Annual Total,Total annuel,,8237,GBq/yr
2015,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135m,Xenon-135m,Annual Total,Total annuel,,10758,GBq/yr
2016,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.006,GBq/yr
2016,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Annual Total,Total annuel,,0.21,GBq/yr
2016,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-131,Iode-131,Annual Total,Total annuel,,0.35,GBq/yr
2016,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-133,Xenon-133,Annual Total,Total annuel,,7277,GBq/yr
2016,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135,Xenon-135,Annual Total,Total annuel,,4299,GBq/yr
2016,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135m,Xenon-135m,Annual Total,Total annuel,,5421,GBq/yr
2017,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.0034,GBq/yr
2017,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Annual Total,Total annuel,,0.0012,GBq/yr
2017,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-131,Iode-131,Annual Total,Total annuel,,0.0008,GBq/yr
2017,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-133,Xenon-133,Annual Total,Total annuel,,0,GBq/yr
2017,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135,Xenon-135,Annual Total,Total annuel,,0,GBq/yr
2017,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135m,Xenon-135m,Annual Total,Total annuel,,0,GBq/yr
2018,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.002,GBq/yr
2018,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-125,Iode-125,Annual Total,Total annuel,,0,GBq/yr
2018,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Iodine-131,Iode-131,Annual Total,Total annuel,,0.006,GBq/yr
2018,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-133,Xenon-133,Annual Total,Total annuel,,0,GBq/yr
2018,Nordion,Stack,45.3408,-75.9179,Atmospheric Releases,Rejets atmosphériques,Xenon-135,Xenon-135,Annual Total,Total annuel,,0,GBq/yr
