"year","facility_name","sample_station_name","latitude","longitude","sample_type_en","sample_type_fr","substance_name_en","substance_name_fr","statistical_quantity_en","statistical_quantity_fr","energy_below_1_mev","result","units","sample_category"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,178.53,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,111.54,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,168.65,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,186.77,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,267.88,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,283.09,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,231.73,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,204.22,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,287,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,274.16,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,212.98,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,221.78,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,197,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,70.4,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,251.17,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,185.03,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,95.44,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,283.9,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,262.7,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,158.43,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,165.2,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,171.35,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,164.12,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium Oxide (HTO)","Tritium (Eau tritiée)","Weekly Total","Total hebdomadaire",NA,119,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,3.5,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,866.5,"GBq","Abiotic"
2010,"SRBT","Stack",45.8054,-77.118,"Atmospheric Releases","Rejets atmosphériques","Tritium (HT)","Tritium élémentaire","Weekly Total","Total hebdomadaire",NA,698,"GBq","Abiotic"
